District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       397,    11.6,     4.8,       396,    88.6
Erving,00910000,       134,     5.2,     3.7,       133,    95.5
Essex North Shore Agricultural and Technical School District,08170000,"     1,493",     1.9,     0.7,"     1,492",    98.2
Everett,00930000,"     7,855",    19.9,    13.2,"     7,263",    87.2
Excel Academy Charter (District),04100000,"     1,406",     5.9,     1.8,"     1,389",    95.2
Fairhaven,00940000,"     2,077",     5.3,     3.1,"     2,053",    96.1
Fall River,00950000,"    10,901",    15.0,     9.1,"    10,360",    91.0
Falmouth,00960000,"     3,367",     7.7,     5.0,"     3,270",    95.1
Farmington River Reg,06620000,       115,     3.5,     1.7,       113,    98.2
Fitchburg,00970000,"     5,729",    14.3,     9.9,"     5,374",    92.0
Florida,00980000,        98,     6.1,     3.1,        95,    96.8
Four Rivers Charter Public (District),04130000,       225,     8.4,     2.7,       221,    93.2
Foxborough,00990000,"     2,605",     5.0,     3.1,"     2,559",    96.7
Foxborough Regional Charter (District),04460000,"     1,674",     2.9,     0.7,"     1,674",    97.1
Framingham,01000000,"     9,783",    13.5,     8.7,"     9,269",    91.6
Francis W. Parker Charter Essential (District),04780000,       402,     2.5,     1.2,       398,    98.5
Franklin,01010000,"     5,159",     4.0,     2.3,"     5,082",    97.8
Franklin County Regional Vocational Technical,08180000,       507,    11.8,    10.3,       506,    88.3
Freetown-Lakeville,06650000,"     2,897",     4.6,     2.7,"     2,841",    97.4
Frontier,06700000,       663,     2.9,     0.6,       661,    97.4
Gardner,01030000,"     2,467",     9.9,     5.1,"     2,365",    94.3
Gateway,06720000,       847,     7.4,     5.4,       827,    95.0
Georgetown,01050000,"     1,393",     7.8,     6.5,"     1,372",    93.7
Gill-Montague,06740000,       967,     7.5,     3.6,       941,    95.0
Global Learning Charter Public (District),04960000,       507,     1.8,     0.2,       507,    98.2
Gloucester,01070000,"     2,940",     5.2,     3.3,"     2,857",    97.8
Grafton,01100000,"     3,266",     4.0,     2.6,"     3,218",    97.5
Granby,01110000,       769,     3.5,     2.6,       754,    98.4
Greater Fall River Regional Vocational Technical,08210000,"     1,440",     2.6,     0.7,"     1,435",    97.7
Greater Lawrence Regional Vocational Technical,08230000,"     1,612",     3.5,     1.4,"     1,599",    97.2
Greater Lowell Regional Vocational Technical,08280000,"     2,286",     3.8,     1.3,"     2,283",    96.3
Greater New Bedford Regional Vocational Technical,08250000,"     2,144",     2.9,     0.1,"     2,143",    97.2
Greenfield,01140000,"     1,795",     7.9,     4.4,"     1,735",    95.4
Greenfield Commonwealth Virtual District,39010000,       883,    43.3,    33.4,       681,    73.6
Groton-Dunstable,06730000,"     2,392",     2.8,     1.8,"     2,358",    98.6
Hadley,01170000,       553,     6.3,     5.2,       532,    97.4
Halifax,01180000,       593,     2.5,     2.0,       587,    98.5
